item1_id,item2_id,item1_text,item2_text,item1_valence,item2_valence,item1_arousal,item2_arousal,item1_dominance,item2_dominance,valence_human_1,valence_human_2,valence_human_3,arousal_human_1,arousal_human_2,arousal_human_3,dominance_human_1,dominance_human_2,dominance_human_3
116CUL034_2074_2422,hsus4_4933_5015,"Since its re-organization, MCCOY has established its unique niche within the community by refraining from direct service programming and focusing on what it does best: helping to identify youth needs, convening groups of individuals and organizations which can address those needs, and moving toward collaborative solutions.","REGISTRATION DOES NOT IMPLY ENDORSEMENT, APPROVAL, OR RECOMMENDATION BY THE STATE.",3.5,2.8,3.13,2.8,3.12,3.1,Text1,Text1,Text1,Text1,Text1,Text1,Text1,Text1,Text1
602CZL285_86_259,captured_moments_5085_5254,Pat LaCrosse asked me to send this information inviting you to join the Georgia O'Keeffe Circle of the Indianapolis Museum of Art's Second Century Society (SCS).,"Her lower lip (a trifle too narrow for her face, perhaps her only physical flaw) thrust forward slightly as she started to speak.",3.5,3.29,3.0,3.29,3.17,3.43,Text1,Text1,Text1,Text2,Text2,Text1,Text2,Text2,Text2
Anti-Terrorist_4031_4279,blog-new-year's-resolutions_1573_1737,"Beyond these two sources, there is virtually no terrorist activity in the world, with the possible exception of localized disputes such as in Northern Ireland and occasional domestic episodes in various places involving isolated disaffected groups.",An important premise to note here is the idea that the probability of choosing a goal or making a resolution increases if a person thinks that goal can be attained.,2.92,3.1,3.0,3.3,2.91,3.2,Text2,Text2,Text1,Text2,Text1,Text1,Text2,Text2,Text2
Uprooted_Farming-on-Sand_3238_3353,116CUL034_2074_2422,"Provincetown's official population of 3,500 supports a tourism industry that serves millions of visitors each year.","Since its re-organization, MCCOY has established its unique niche within the community by refraining from direct service programming and focusing on what it does best: helping to identify youth needs, convening groups of individuals and organizations which can address those needs, and moving toward collaborative solutions.",3.14,3.5,3.0,3.13,3.43,3.12,Text2,Text2,Text2,Text1,Text2,Text2,Text1,Text1,Text1
Nathans_Bylichka_45926_45965,NYTnewswire4_3018_3182,"Isis collapsed on the fur, strings cut.","You're a focal point, and people are looking at you, but it's a team game, and you depend on your team 1,000 times more than that billboard to get you the Heisman.""",2.6,3.37,3.4,3.63,3.1,3.25,Text2,Text2,Text2,Text2,Text2,Text2,Text2,Text1,Text2
113CWL018_952_1022,The_Black_Willow_11596_11663,Your contribution last year of helped us get where we are today.,"Allan crouched over his desk once more, pen in hand and mind blank.",3.9,2.7,3.1,3.0,3.4,2.8,Text1,Text1,Text1,Text2,Text1,Text2,Text1,Text1,Text1
Ant_Robot_19422_19434,hotel-california_33157_33182,The Behavior,Our instinct was to hide.,3.0,2.8,2.78,3.1,3.0,2.8,Text1,Text1,Text1,Text2,Text2,Text2,Text1,Text1,Text1
NYTnewswire4_3018_3182,captured_moments_5085_5254,"You're a focal point, and people are looking at you, but it's a team game, and you depend on your team 1,000 times more than that billboard to get you the Heisman.""","Her lower lip (a trifle too narrow for her face, perhaps her only physical flaw) thrust forward slightly as she started to speak.",3.37,3.29,3.63,3.29,3.25,3.43,Text1,Text1,Text1,Text2,Text1,Text2,Text2,Text2,Text2
113CWL018_952_1022,Uprooted_Farming-on-Sand_3238_3353,Your contribution last year of helped us get where we are today.,"Provincetown's official population of 3,500 supports a tourism industry that serves millions of visitors each year.",3.9,3.14,3.1,3.0,3.4,3.43,Text1,Text1,Text1,Text1,Text1,Text1,Text2,Text1,Text2
602CZL285_86_259,hotel-california_25973_25999,Pat LaCrosse asked me to send this information inviting you to join the Georgia O'Keeffe Circle of the Indianapolis Museum of Art's Second Century Society (SCS).,No one else said anything.,3.5,2.82,3.0,2.55,3.17,3.09,Text1,Text1,Text2,Text1,Text1,Text1,Text1,Text1,Text1
Nathans_Bylichka_45926_45965,118CWL050_2436_2656,"Isis collapsed on the fur, strings cut.","Will you make a financial gift to Big Sisters in 1999 that will ensure that more young people receive the guidance they need, that more young people stay in school, stay off drugs and make good choices?",2.6,3.0,3.4,3.0,3.1,3.0,Text2,Text2,Text2,Text1,Text2,Text1,Text1,Text1,Text1
Nathans_Bylichka_29483_29506,Uprooted_Farming-on-Sand_3238_3353,"“Roll up your sleeves,”","Provincetown's official population of 3,500 supports a tourism industry that serves millions of visitors each year.",3.0,3.14,3.4,3.0,3.4,3.43,Text2,Text2,Text2,Text1,Text1,Text1,Text2,Text1,Text2
wsj_2465_4206_4287,hsus4_4933_5015,Mr. Barco has refused U.S. troops or advisers but has accepted U.S. military aid.,"REGISTRATION DOES NOT IMPLY ENDORSEMENT, APPROVAL, OR RECOMMENDATION BY THE STATE.",3.0,2.8,3.14,2.8,3.14,3.1,Text1,Text1,Text1,Text1,Text1,Text2,Text1,Text2,Text1
NYTnewswire7_3260_3393,Nathans_Bylichka_29483_29506,"""We are also taking a real hard look currently at almost all species of shark, though we haven't made a formal statement about that.""","“Roll up your sleeves,”",3.0,3.0,3.0,3.4,3.12,3.4,Text2,Text1,Text2,Text2,Text2,Text2,Text2,Text1,Text2
Nathans_Bylichka_45926_45965,hotel-california_25973_25999,"Isis collapsed on the fur, strings cut.",No one else said anything.,2.6,2.82,3.4,2.55,3.1,3.09,Text2,Text2,Text2,Text1,Text1,Text1,Text1,Text1,Text2
Nathans_Bylichka_15318_15334,SemEval_1154,"“Thanks, Dvorov.",Audio Slide Show: A love story lasting 61 years,3.56,3.2,3.0,2.9,3.22,3.0,Text1,Text2,Text1,Text1,Text1,Text2,Text1,Text1,Text2
Nathans_Bylichka_12551_12560,captured_moments_33844_33911,What up?”,"I heard no voices until Malaquez said, ""Enter.""",3.11,2.9,3.11,2.9,3.11,2.9,Text1,Text1,Text1,Text1,Text1,Text2,Text2,Text1,Text1
116CUL034_796_978,hsus4_4933_5015,"We have met with a number of successes along the way, most notably the Summer Fun Line, the Metro Summer Bus Pass, and the development of ten neighborhood youth councils.","REGISTRATION DOES NOT IMPLY ENDORSEMENT, APPROVAL, OR RECOMMENDATION BY THE STATE.",3.2,2.8,3.0,2.8,3.5,3.1,Text2,Text1,Text1,Text1,Text1,Text2,Text1,Text1,Text2
SemEval_763,detroit_12208_12263,Secret hotels in Irish countryside,"Did we build sane, sustainable, survival shelter homes?",2.86,3.1,3.0,3.0,2.86,3.1,Text1,Text2,Text2,Text2,Text2,Text2,Text2,Text2,Text2
captured_moments_33844_33911,captured_moments_5085_5254,"I heard no voices until Malaquez said, ""Enter.""","Her lower lip (a trifle too narrow for her face, perhaps her only physical flaw) thrust forward slightly as she started to speak.",2.9,3.29,2.9,3.29,2.9,3.43,Text2,Text2,Text2,Text2,Text2,Text2,Text2,Text2,Text2
The_Black_Willow_11596_11663,116CUL034_796_978,"Allan crouched over his desk once more, pen in hand and mind blank.","We have met with a number of successes along the way, most notably the Summer Fun Line, the Metro Summer Bus Pass, and the development of ten neighborhood youth councils.",2.7,3.2,3.0,3.0,2.8,3.5,Text2,Text2,Text1,Text2,Text2,Text2,Text2,Text2,Text2
SemEval_1155,113CWL018_952_1022,Microsoft to release next generation phone,Your contribution last year of helped us get where we are today.,3.36,3.9,3.0,3.1,3.27,3.4,Text2,Text2,Text1,Text2,Text2,Text2,Text1,Text1,Text1
Nathans_Bylichka_12551_12560,captured_moments_5085_5254,What up?”,"Her lower lip (a trifle too narrow for her face, perhaps her only physical flaw) thrust forward slightly as she started to speak.",3.11,3.29,3.11,3.29,3.11,3.43,Text2,Text2,Text2,Text2,Text2,Text2,Text2,Text2,Text1
The_Black_Willow_11596_11663,SemEval_597,"Allan crouched over his desk once more, pen in hand and mind blank.",Stenson defends his title at Dubai,2.7,3.12,3.0,3.12,2.8,3.12,Text1,Text2,Text1,Text1,Text2,Text2,Text2,Text2,Text2
wsj_2465_4206_4287,Nathans_Bylichka_38817_38837,Mr. Barco has refused U.S. troops or advisers but has accepted U.S. military aid.,“Didn’t I warn you?”,3.0,2.44,3.14,3.33,3.14,3.33,Text1,Text1,Text2,Text2,Text1,Text2,Text2,Text2,Text2
NYTnewswire7_3260_3393,602CZL285_86_259,"""We are also taking a real hard look currently at almost all species of shark, though we haven't made a formal statement about that.""",Pat LaCrosse asked me to send this information inviting you to join the Georgia O'Keeffe Circle of the Indianapolis Museum of Art's Second Century Society (SCS).,3.0,3.5,3.0,3.0,3.12,3.17,Text2,Text2,Text1,Text2,Text2,Text2,Text2,Text2,Text2
SemEval_1155,SemEval_763,Microsoft to release next generation phone,Secret hotels in Irish countryside,3.36,2.86,3.0,3.0,3.27,2.86,Text1,Text1,Text1,Text2,Text2,Text1,Text1,Text2,Text1
hsus4_4933_5015,captured_moments_5085_5254,"REGISTRATION DOES NOT IMPLY ENDORSEMENT, APPROVAL, OR RECOMMENDATION BY THE STATE.","Her lower lip (a trifle too narrow for her face, perhaps her only physical flaw) thrust forward slightly as she started to speak.",2.8,3.29,2.8,3.29,3.1,3.43,Text1,Text2,Text2,Text2,Text2,Text2,Text2,Text1,Text2
602CZL285_86_259,blog-new-year's-resolutions_5010_5074,Pat LaCrosse asked me to send this information inviting you to join the Georgia O'Keeffe Circle of the Indianapolis Museum of Art's Second Century Society (SCS).,Self-efficacy did not have a significant effect on goal-setting.,3.5,2.9,3.0,3.0,3.17,3.1,Text1,Text2,Text2,Text2,Text2,Text2,Text1,Text1,Text1
SemEval_1155,Nathans_Bylichka_29483_29506,Microsoft to release next generation phone,"“Roll up your sleeves,”",3.36,3.0,3.0,3.4,3.27,3.4,Text2,Text1,Text1,Text2,Text2,Text2,Text1,Text2,Text1
hotel-california_25973_25999,602CZL285_86_259,No one else said anything.,Pat LaCrosse asked me to send this information inviting you to join the Georgia O'Keeffe Circle of the Indianapolis Museum of Art's Second Century Society (SCS).,2.82,3.5,2.55,3.0,3.09,3.17,Text2,Text2,Text1,Text2,Text2,Text2,Text2,Text1,Text1
SemEval_597,Anti-Terrorist_4031_4279,Stenson defends his title at Dubai,"Beyond these two sources, there is virtually no terrorist activity in the world, with the possible exception of localized disputes such as in Northern Ireland and occasional domestic episodes in various places involving isolated disaffected groups.",3.12,2.92,3.12,3.0,3.12,2.91,Text1,Text1,Text1,Text1,Text1,Text1,Text1,Text1,Text1
The_Black_Willow_11596_11663,How_soon-Lebron-James_2193_2304,"Allan crouched over his desk once more, pen in hand and mind blank.","I'm no longer the target demographic for most of the products Lebron endorses, but you know what matters to me?",2.7,2.7,3.0,3.3,2.8,2.9,Text2,Text2,Text2,Text2,Text2,Text2,Text2,Text2,Text1
116CUL034_796_978,Nathans_Bylichka_38817_38837,"We have met with a number of successes along the way, most notably the Summer Fun Line, the Metro Summer Bus Pass, and the development of ten neighborhood youth councils.",“Didn’t I warn you?”,3.2,2.44,3.0,3.33,3.5,3.33,Text1,Text1,Text1,Text2,Text2,Text2,Text1,Text1,Text2
How_soon-Lebron-James_2193_2304,hsus4_4933_5015,"I'm no longer the target demographic for most of the products Lebron endorses, but you know what matters to me?","REGISTRATION DOES NOT IMPLY ENDORSEMENT, APPROVAL, OR RECOMMENDATION BY THE STATE.",2.7,2.8,3.3,2.8,2.9,3.1,Text2,Text2,Text1,Text2,Text1,Text1,Text2,Text1,Text2
116CUL034_2074_2422,602CZL285_86_259,"Since its re-organization, MCCOY has established its unique niche within the community by refraining from direct service programming and focusing on what it does best: helping to identify youth needs, convening groups of individuals and organizations which can address those needs, and moving toward collaborative solutions.",Pat LaCrosse asked me to send this information inviting you to join the Georgia O'Keeffe Circle of the Indianapolis Museum of Art's Second Century Society (SCS).,3.5,3.5,3.13,3.0,3.12,3.17,Text2,Text2,Text2,Text1,Text2,Text1,Text2,Text2,Text1
Anti-Terrorist_4031_4279,Nathans_Bylichka_38817_38837,"Beyond these two sources, there is virtually no terrorist activity in the world, with the possible exception of localized disputes such as in Northern Ireland and occasional domestic episodes in various places involving isolated disaffected groups.",“Didn’t I warn you?”,2.92,2.44,3.0,3.33,2.91,3.33,Text1,Text2,Text1,Text2,Text2,Text1,Text1,Text2,Text1
detroit_12208_12263,SemEval_1154,"Did we build sane, sustainable, survival shelter homes?",Audio Slide Show: A love story lasting 61 years,3.1,3.2,3.0,2.9,3.1,3.0,Text1,Text2,Text2,Text1,Text1,Text2,Text1,Text1,Text1
Ant_Robot_19422_19434,wsj_2465_4206_4287,The Behavior,Mr. Barco has refused U.S. troops or advisers but has accepted U.S. military aid.,3.0,3.0,2.78,3.14,3.0,3.14,Text2,Text2,Text2,Text2,Text2,Text2,Text2,Text2,Text2
SemEval_763,blog-new-year's-resolutions_5010_5074,Secret hotels in Irish countryside,Self-efficacy did not have a significant effect on goal-setting.,2.86,2.9,3.0,3.0,2.86,3.1,Text1,Text2,Text2,Text2,Text2,Text2,Text2,Text2,Text1
Ant_Robot_19422_19434,118CWL050_2436_2656,The Behavior,"Will you make a financial gift to Big Sisters in 1999 that will ensure that more young people receive the guidance they need, that more young people stay in school, stay off drugs and make good choices?",3.0,3.0,2.78,3.0,3.0,3.0,Text1,Text2,Text1,Text2,Text2,Text2,Text2,Text1,Text2
How_soon-Lebron-James_2193_2304,Nathans_Bylichka_12551_12560,"I'm no longer the target demographic for most of the products Lebron endorses, but you know what matters to me?",What up?”,2.7,3.11,3.3,3.11,2.9,3.11,Text2,Text2,Text2,Text1,Text1,Text1,Text2,Text2,Text1
Uprooted_Farming-on-Sand_3238_3353,Nathans_Bylichka_38817_38837,"Provincetown's official population of 3,500 supports a tourism industry that serves millions of visitors each year.",“Didn’t I warn you?”,3.14,2.44,3.0,3.33,3.43,3.33,Text1,Text2,Text1,Text2,Text2,Text2,Text1,Text1,Text1
Ant_Robot_19422_19434,hotel-california_25973_25999,The Behavior,No one else said anything.,3.0,2.82,2.78,2.55,3.0,3.09,Text1,Text2,Text1,Text2,Text1,Text1,Text2,Text2,Text1
SemEval_763,SemEval_1154,Secret hotels in Irish countryside,Audio Slide Show: A love story lasting 61 years,2.86,3.2,3.0,2.9,2.86,3.0,Text2,Text2,Text2,Text1,Text1,Text1,Text2,Text1,Text2
hotel-california_25973_25999,118CWL050_2436_2656,No one else said anything.,"Will you make a financial gift to Big Sisters in 1999 that will ensure that more young people receive the guidance they need, that more young people stay in school, stay off drugs and make good choices?",2.82,3.0,2.55,3.0,3.09,3.0,Text2,Text2,Text2,Text2,Text2,Text2,Text1,Text1,Text1
Nathans_Bylichka_15318_15334,Nathans_Bylichka_38817_38837,"“Thanks, Dvorov.",“Didn’t I warn you?”,3.56,2.44,3.0,3.33,3.22,3.33,Text1,Text1,Text1,Text2,Text2,Text2,Text2,Text2,Text1
hsus4_4933_5015,118CWL050_2436_2656,"REGISTRATION DOES NOT IMPLY ENDORSEMENT, APPROVAL, OR RECOMMENDATION BY THE STATE.","Will you make a financial gift to Big Sisters in 1999 that will ensure that more young people receive the guidance they need, that more young people stay in school, stay off drugs and make good choices?",2.8,3.0,2.8,3.0,3.1,3.0,Text2,Text2,Text2,Text2,Text2,Text1,Text1,Text1,Text1
NYTnewswire4_3018_3182,blog-new-year's-resolutions_5010_5074,"You're a focal point, and people are looking at you, but it's a team game, and you depend on your team 1,000 times more than that billboard to get you the Heisman.""",Self-efficacy did not have a significant effect on goal-setting.,3.37,2.9,3.63,3.0,3.25,3.1,Text1,Text1,Text1,Text1,Text1,Text1,Text1,Text1,Text2
Nathans_Bylichka_29483_29506,602CZL285_86_259,"“Roll up your sleeves,”",Pat LaCrosse asked me to send this information inviting you to join the Georgia O'Keeffe Circle of the Indianapolis Museum of Art's Second Century Society (SCS).,3.0,3.5,3.4,3.0,3.4,3.17,Text2,Text2,Text2,Text1,Text2,Text1,Text1,Text1,Text2
NYTnewswire7_3260_3393,Uprooted_Farming-on-Sand_3238_3353,"""We are also taking a real hard look currently at almost all species of shark, though we haven't made a formal statement about that.""","Provincetown's official population of 3,500 supports a tourism industry that serves millions of visitors each year.",3.0,3.14,3.0,3.0,3.12,3.43,Text2,Text2,Text2,Text2,Text2,Text2,Text1,Text2,Text1
Ant_Robot_19422_19434,116CUL034_2074_2422,The Behavior,"Since its re-organization, MCCOY has established its unique niche within the community by refraining from direct service programming and focusing on what it does best: helping to identify youth needs, convening groups of individuals and organizations which can address those needs, and moving toward collaborative solutions.",3.0,3.5,2.78,3.13,3.0,3.12,Text2,Text2,Text1,Text2,Text1,Text2,Text2,Text1,Text2
Nathans_Bylichka_45926_45965,NYTnewswire7_3260_3393,"Isis collapsed on the fur, strings cut.","""We are also taking a real hard look currently at almost all species of shark, though we haven't made a formal statement about that.""",2.6,3.0,3.4,3.0,3.1,3.12,Text2,Text2,Text1,Text1,Text1,Text1,Text1,Text1,Text2
NYTnewswire4_3018_3182,SemEval_1154,"You're a focal point, and people are looking at you, but it's a team game, and you depend on your team 1,000 times more than that billboard to get you the Heisman.""",Audio Slide Show: A love story lasting 61 years,3.37,3.2,3.63,2.9,3.25,3.0,Text1,Text1,Text2,Text1,Text1,Text1,Text1,Text1,Text1
Ant_Robot_19422_19434,blog-new-year's-resolutions_1573_1737,The Behavior,An important premise to note here is the idea that the probability of choosing a goal or making a resolution increases if a person thinks that goal can be attained.,3.0,3.1,2.78,3.3,3.0,3.2,Text2,Text2,Text2,Text2,Text2,Text2,Text1,Text2,Text2
SemEval_1155,The_Black_Willow_11596_11663,Microsoft to release next generation phone,"Allan crouched over his desk once more, pen in hand and mind blank.",3.36,2.7,3.0,3.0,3.27,2.8,Text1,Text1,Text1,Text1,Text2,Text1,Text1,Text1,Text1
Nathans_Bylichka_29483_29506,118CWL050_2436_2656,"“Roll up your sleeves,”","Will you make a financial gift to Big Sisters in 1999 that will ensure that more young people receive the guidance they need, that more young people stay in school, stay off drugs and make good choices?",3.0,3.0,3.4,3.0,3.4,3.0,Text2,Text2,Text1,Text1,Text1,Text1,Text1,Text2,Text1
113CWL018_952_1022,Nathans_Bylichka_45926_45965,Your contribution last year of helped us get where we are today.,"Isis collapsed on the fur, strings cut.",3.9,2.6,3.1,3.4,3.4,3.1,Text1,Text1,Text1,Text1,Text2,Text1,Text1,Text1,Text2
Nathans_Bylichka_29483_29506,hotel-california_25973_25999,"“Roll up your sleeves,”",No one else said anything.,3.0,2.82,3.4,2.55,3.4,3.09,Text1,Text2,Text2,Text1,Text1,Text1,Text1,Text1,Text1
113CWL018_952_1022,detroit_12208_12263,Your contribution last year of helped us get where we are today.,"Did we build sane, sustainable, survival shelter homes?",3.9,3.1,3.1,3.0,3.4,3.1,Text1,Text1,Text1,Text1,Text1,Text1,Text1,Text2,Text1
SemEval_597,blog-new-year's-resolutions_1573_1737,Stenson defends his title at Dubai,An important premise to note here is the idea that the probability of choosing a goal or making a resolution increases if a person thinks that goal can be attained.,3.12,3.1,3.12,3.3,3.12,3.2,Text1,Text1,Text1,Text2,Text1,Text1,Text2,Text2,Text2
blog-new-year's-resolutions_1573_1737,116CUL034_2074_2422,An important premise to note here is the idea that the probability of choosing a goal or making a resolution increases if a person thinks that goal can be attained.,"Since its re-organization, MCCOY has established its unique niche within the community by refraining from direct service programming and focusing on what it does best: helping to identify youth needs, convening groups of individuals and organizations which can address those needs, and moving toward collaborative solutions.",3.1,3.5,3.3,3.13,3.2,3.12,Text2,Text2,Text2,Text1,Text2,Text1,Text1,Text2,Text1
113CWL018_952_1022,blog-new-year's-resolutions_1573_1737,Your contribution last year of helped us get where we are today.,An important premise to note here is the idea that the probability of choosing a goal or making a resolution increases if a person thinks that goal can be attained.,3.9,3.1,3.1,3.3,3.4,3.2,Text1,Text1,Text1,Text2,Text2,Text2,Text1,Text2,Text1
SemEval_763,Nathans_Bylichka_38817_38837,Secret hotels in Irish countryside,“Didn’t I warn you?”,2.86,2.44,3.0,3.33,2.86,3.33,Text1,Text1,Text1,Text2,Text2,Text2,Text2,Text2,Text2
hsus4_4933_5015,blog-new-year's-resolutions_5010_5074,"REGISTRATION DOES NOT IMPLY ENDORSEMENT, APPROVAL, OR RECOMMENDATION BY THE STATE.",Self-efficacy did not have a significant effect on goal-setting.,2.8,2.9,2.8,3.0,3.1,3.1,Text2,Text2,Text1,Text2,Text2,Text2,Text2,Text2,Text2
wsj_2465_4206_4287,Nathans_Bylichka_12551_12560,Mr. Barco has refused U.S. troops or advisers but has accepted U.S. military aid.,What up?”,3.0,3.11,3.14,3.11,3.14,3.11,Text2,Text2,Text1,Text1,Text2,Text2,Text1,Text2,Text1
Nathans_Bylichka_12551_12560,SemEval_1154,What up?”,Audio Slide Show: A love story lasting 61 years,3.11,3.2,3.11,2.9,3.11,3.0,Text1,Text2,Text2,Text2,Text2,Text1,Text1,Text1,Text1
SemEval_597,blog-new-year's-resolutions_5010_5074,Stenson defends his title at Dubai,Self-efficacy did not have a significant effect on goal-setting.,3.12,2.9,3.12,3.0,3.12,3.1,Text1,Text2,Text1,Text1,Text1,Text1,Text1,Text1,Text1
Nathans_Bylichka_29483_29506,blog-new-year's-resolutions_1573_1737,"“Roll up your sleeves,”",An important premise to note here is the idea that the probability of choosing a goal or making a resolution increases if a person thinks that goal can be attained.,3.0,3.1,3.4,3.3,3.4,3.2,Text2,Text2,Text1,Text2,Text1,Text1,Text2,Text1,Text2
Nathans_Bylichka_38817_38837,hotel-california_33157_33182,“Didn’t I warn you?”,Our instinct was to hide.,2.44,2.8,3.33,3.1,3.33,2.8,Text2,Text2,Text2,Text1,Text1,Text2,Text1,Text1,Text1
blog-new-year's-resolutions_1573_1737,blog-new-year's-resolutions_5010_5074,An important premise to note here is the idea that the probability of choosing a goal or making a resolution increases if a person thinks that goal can be attained.,Self-efficacy did not have a significant effect on goal-setting.,3.1,2.9,3.3,3.0,3.2,3.1,Text1,Text2,Text1,Text1,Text1,Text1,Text1,Text1,Text2
detroit_12208_12263,Nathans_Bylichka_29483_29506,"Did we build sane, sustainable, survival shelter homes?","“Roll up your sleeves,”",3.1,3.0,3.0,3.4,3.1,3.4,Text1,Text1,Text1,Text2,Text2,Text1,Text2,Text2,Text2
The_Black_Willow_11596_11663,Ant_Robot_19422_19434,"Allan crouched over his desk once more, pen in hand and mind blank.",The Behavior,2.7,3.0,3.0,2.78,2.8,3.0,Text2,Text2,Text2,Text2,Text1,Text2,Text2,Text1,Text2
hotel-california_25973_25999,NYTnewswire4_3018_3182,No one else said anything.,"You're a focal point, and people are looking at you, but it's a team game, and you depend on your team 1,000 times more than that billboard to get you the Heisman.""",2.82,3.37,2.55,3.63,3.09,3.25,Text2,Text2,Text2,Text2,Text2,Text2,Text2,Text2,Text2
Nathans_Bylichka_12551_12560,hsus4_4933_5015,What up?”,"REGISTRATION DOES NOT IMPLY ENDORSEMENT, APPROVAL, OR RECOMMENDATION BY THE STATE.",3.11,2.8,3.11,2.8,3.11,3.1,Text1,Text1,Text1,Text1,Text1,Text2,Text2,Text2,Text1
The_Black_Willow_11596_11663,captured_moments_33844_33911,"Allan crouched over his desk once more, pen in hand and mind blank.","I heard no voices until Malaquez said, ""Enter.""",2.7,2.9,3.0,2.9,2.8,2.9,Text2,Text1,Text2,Text1,Text2,Text1,Text2,Text1,Text1
SemEval_1155,SemEval_597,Microsoft to release next generation phone,Stenson defends his title at Dubai,3.36,3.12,3.0,3.12,3.27,3.12,Text1,Text1,Text1,Text2,Text1,Text1,Text1,Text2,Text2
Nathans_Bylichka_15318_15334,Nathans_Bylichka_12551_12560,"“Thanks, Dvorov.",What up?”,3.56,3.11,3.0,3.11,3.22,3.11,Text1,Text1,Text1,Text2,Text2,Text2,Text1,Text1,Text1
blog-new-year's-resolutions_1573_1737,hsus4_4933_5015,An important premise to note here is the idea that the probability of choosing a goal or making a resolution increases if a person thinks that goal can be attained.,"REGISTRATION DOES NOT IMPLY ENDORSEMENT, APPROVAL, OR RECOMMENDATION BY THE STATE.",3.1,2.8,3.3,2.8,3.2,3.1,Text1,Text1,Text1,Text1,Text1,Text1,Text2,Text1,Text1
NYTnewswire7_3260_3393,wsj_2465_4206_4287,"""We are also taking a real hard look currently at almost all species of shark, though we haven't made a formal statement about that.""",Mr. Barco has refused U.S. troops or advisers but has accepted U.S. military aid.,3.0,3.0,3.0,3.14,3.12,3.14,Text1,Text2,Text2,Text2,Text2,Text2,Text2,Text2,Text1
Ant_Robot_19422_19434,Nathans_Bylichka_15318_15334,The Behavior,"“Thanks, Dvorov.",3.0,3.56,2.78,3.0,3.0,3.22,Text2,Text2,Text2,Text2,Text2,Text1,Text2,Text2,Text2
116CUL034_796_978,hotel-california_33157_33182,"We have met with a number of successes along the way, most notably the Summer Fun Line, the Metro Summer Bus Pass, and the development of ten neighborhood youth councils.",Our instinct was to hide.,3.2,2.8,3.0,3.1,3.5,2.8,Text2,Text2,Text1,Text2,Text1,Text2,Text1,Text1,Text1
hotel-california_33157_33182,116CUL034_2074_2422,Our instinct was to hide.,"Since its re-organization, MCCOY has established its unique niche within the community by refraining from direct service programming and focusing on what it does best: helping to identify youth needs, convening groups of individuals and organizations which can address those needs, and moving toward collaborative solutions.",2.8,3.5,3.1,3.13,2.8,3.12,Text2,Text2,Text2,Text1,Text2,Text2,Text2,Text2,Text2
Nathans_Bylichka_45926_45965,SemEval_1154,"Isis collapsed on the fur, strings cut.",Audio Slide Show: A love story lasting 61 years,2.6,3.2,3.4,2.9,3.1,3.0,Text2,Text2,Text1,Text1,Text1,Text1,Text1,Text1,Text1
113CWL018_952_1022,hsus4_4933_5015,Your contribution last year of helped us get where we are today.,"REGISTRATION DOES NOT IMPLY ENDORSEMENT, APPROVAL, OR RECOMMENDATION BY THE STATE.",3.9,2.8,3.1,2.8,3.4,3.1,Text1,Text1,Text1,Text1,Text1,Text1,Text1,Text1,Text2
SemEval_1155,captured_moments_5085_5254,Microsoft to release next generation phone,"Her lower lip (a trifle too narrow for her face, perhaps her only physical flaw) thrust forward slightly as she started to speak.",3.36,3.29,3.0,3.29,3.27,3.43,Text1,Text2,Text1,Text2,Text1,Text1,Text2,Text2,Text1
